Status,Flyer,Title,Date,Venue,DJ,DJ Fee,Contract Signed?,DJ Deposit,DJ Paid in Full,Hotel Confirmation,Hotel Check-in,Hotel Check-out
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2022/12/gogreen-e1679022827546-150x150.png","Go Green","3/18/2023","Bike Stop","DJ Chris B","$300.00","True",,"3/20/2023","-----",,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2022/12/336012478_227328893167518_7651323374912070110_n1-e1680789084637.jpg","Get Pinned","4/15/2023","Bike Stop","DJ Josh Ruiz","$1,200.00","True","1/13/2023","4/17/2023","95750","4/15/2023","4/16/2023"
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2022/12/yessir.png","YES SIR!","5/20/2023","Bike Stop","DJ James Anthony","$1,500.00","True",,"5/22/2023","98291",,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2023/06/IMG-1.jpg","Candyland","6/3/2023","Concourse","DJ Abel","$4,600.00","True","1/13/2023","6/5/2023","82302980","6/3/2023","6/5/2023"
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2023/05/346101430_640522494114000_6401866762391250300_n.jpg","Super Bros","6/17/2023","Bike Stop","DJ Brett Oosterhaus","$1,200.00","True","5/17/2023","6/20/2023","50100","6/17/2023","6/18/2023"
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2023/06/361915673_1474708496619322_7800326743914844538_n-scaled.webp","Miami Vice","8/6/2023","Stratus","DJ Alexis Tucci,DJ Riva & Bianca","$1,900.00","True","7/29/2023","8/6/2023",,,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2023/06/Summer-Camp-Flyer-jpg.webp","Summer Camp","8/19/2023","Bike Stop","DJ Twin","$1,000.00","True","7/17/2023","8/19/2023",,"8/18/2023","8/20/2023"
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2023/06/370609755_681255756833807_9192501806118560638_n-819x1024.webp","White Party","9/16/2023","Bike Stop","DJ Josh Ruiz","$1,500.00","True","8/23/2023",,,"9/16/2023","9/17/2023"
,"https://bosphilly.com/wp-content/uploads/2023/06/354469729_2020568871610961_7716554767228196644_n-jpg.webp","Jungle","10/7/2023","Concourse","DJ Las Bibas,DJ Jace M",,"True",,,,,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2024/01/391605448_807382991391438_2175104100502599521_n-jpg.webp","Halloween","10/21/2023","Bike Stop","DJ Kirk","$800.00","True",,"10/21/2023",,,
,"https://bosphilly.com/wp-content/uploads/2024/01/395275085_812829814180089_5178332922315945650_n-jpg.webp","Wild West","11/18/2023","Bike Stop","DJ Brett Oosterhaus","$1,200.00","True",,,,,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2024/01/409137816_842483457881391_3537452560555767038_n-jpg.webp","Nut Cracker","12/16/2023","Bike Stop","DJ James Anthony","$1,500.00","True",,,,,
"[""COMPLETE""]","https://bosphilly.com/wp-content/uploads/2024/01/409175880_842484647881272_7110532919049074024_n-jpg.webp","POP NYE","12/31/2023","Miss Saigon","DJ Mike Foch","$1,500.00","False","12/28/2023","12/31/2023",,"12/31/2023","1/1/2024"
"[""Waiting for Hotel""]","https://bosphilly.com/wp-content/uploads/2024/01/417037538_1475885142972797_1228034143619408646_n-jpg.webp","Wig Party","2/17/2024","Bike Stop","DJ Danny Kim","$1,400.00","False",,,,,
,"https://bosphilly.com/wp-content/uploads/2024/02/circuit2-1024x574.webp","Lucky","3/16/2024","Bike Stop","DJ Sakalem","$1,500.00","True",,,,,
"[""Waiting for Flyer"",""Waiting for Hotel""]","https://i.imgur.com/7hPYA8M.jpeg","Heaven and Hell","4/13/2024","Vesper","DJ Chris Urban,DJ Superstar Cindel","$1,000.00","True","2/6/2024",,,,
"[""Waiting for DJ"",""Waiting for Flyer"",""Waiting for DJ Contract"",""Waiting for Hotel"",""Waiting for Deposit""]","https://i.imgur.com/kUIVZda.png","Tea Dance","5/5/2024","Winston on the Water","[]",,"False",,,,,
"[""Waiting for Hotel"",""Waiting for Deposit"",""Waiting for DJ Contract""]","https://bosphilly.com/wp-content/uploads/2024/01/420198760_1293134267993558_8971226105116551971_n-scaled.webp","Opulence","6/1/2024","Filmore","DJ Alex Acosta,DJ Brett Oosterhaus","$4,000.00","True","1/31/2024",,,,
"[""Waiting for DJ"",""Waiting for Flyer"",""Waiting for DJ Contract"",""Waiting for Hotel"",""Waiting for Deposit""]","https://i.imgur.com/mPxf5RV.png","Tea Dance","6/23/2024","Stratus","[]",,"False",,,,,
